Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,13.33,6,0.000524704853519895,0.08045474420638392
Standard Deviation,13.34,7,0.0006121556624398776,0.07993003935286402
Standard Deviation,13.35,17,0.0014866637516397026,0.07931788369042414
Standard Deviation,13.36,4,0.00034980323567993004,0.07783121993878443
Standard Deviation,13.37,16,0.0013992129427197202,0.0774814167031045
Standard Deviation,13.38,13,0.0011368605159597727,0.07608220376038478
Standard Deviation,13.39,2,0.00017490161783996502,0.074945343244425
Standard Deviation,13.4,6,0.000524704853519895,0.07477044162658504
Standard Deviation,13.41,7,0.0006121556624398776,0.07424573677306515
Standard Deviation,13.42,5,0.00043725404459991256,0.07363358111062526
Standard Deviation,13.43,3,0.0002623524267599475,0.07319632706602534
Standard Deviation,13.44,7,0.0006121556624398776,0.07293397463926539
Standard Deviation,13.45,8,0.0006996064713598601,0.0723218189768255
Standard Deviation,13.46,13,0.0011368605159597727,0.07162221250546565
Standard Deviation,13.47,6,0.000524704853519895,0.07048535198950587
Standard Deviation,13.48,16,0.0013992129427197202,0.06996064713598597
Standard Deviation,13.49,4,0.00034980323567993004,0.06856143419326625
Standard Deviation,13.5,6,0.000524704853519895,0.06821163095758632
Standard Deviation,13.51,2,0.00017490161783996502,0.06768692610406643
Standard Deviation,13.52,3,0.0002623524267599475,0.06751202448622647
Standard Deviation,13.53,12,0.00104940970703979,0.06724967205946651
Standard Deviation,13.54,10,0.0008745080891998251,0.06620026235242672
Standard Deviation,13.55,1,8.745080891998251e-05,0.0653257542632269
Standard Deviation,13.56,11,0.0009619588981198076,0.06523830345430691
Standard Deviation,13.57,10,0.0008745080891998251,0.0642763445561871
Standard Deviation,13.58,1,8.745080891998251e-05,0.06340183646698727
Standard Deviation,13.59,6,0.000524704853519895,0.06331438565806728
Standard Deviation,13.6,5,0.00043725404459991256,0.06278968080454739
Standard Deviation,13.61,4,0.00034980323567993004,0.06235242675994747
Standard Deviation,13.62,4,0.00034980323567993004,0.06200262352426754
Standard Deviation,13.63,7,0.0006121556624398776,0.06165282028858761
Standard Deviation,13.64,6,0.000524704853519895,0.06104066462614773
Standard Deviation,13.65,3,0.0002623524267599475,0.06051595977262784
Standard Deviation,13.66,11,0.0009619588981198076,0.06025360734586789
Standard Deviation,13.67,13,0.0011368605159597727,0.059291648447748084
Standard Deviation,13.68,6,0.000524704853519895,0.05815478793178831
Standard Deviation,13.69,4,0.00034980323567993004,0.05763008307826842
Standard Deviation,13.7,11,0.0009619588981198076,0.05728027984258849
Standard Deviation,13.71,1,8.745080891998251e-05,0.05631832094446868
Standard Deviation,13.72,8,0.0006996064713598601,0.0562308701355487
Standard Deviation,13.73,6,0.000524704853519895,0.05553126366418884
Standard Deviation,13.74,1,8.745080891998251e-05,0.055006558810668946
Standard Deviation,13.75,5,0.00043725404459991256,0.05491910800174896
Standard Deviation,13.76,1,8.745080891998251e-05,0.05448185395714905
Standard Deviation,13.78,11,0.0009619588981198076,0.05439440314822907
Standard Deviation,13.79,7,0.0006121556624398776,0.05343244425010926
Standard Deviation,13.8,1,8.745080891998251e-05,0.052820288587669385
Standard Deviation,13.81,7,0.0006121556624398776,0.0527328377787494
Standard Deviation,13.82,7,0.0006121556624398776,0.052120682116309526
Standard Deviation,13.83,3,0.0002623524267599475,0.05150852645386965
Standard Deviation,13.84,9,0.0007870572802798426,0.0512461740271097
Standard Deviation,13.85,13,0.0011368605159597727,0.05045911674682986
Standard Deviation,13.86,4,0.00034980323567993004,0.04932225623087009
Standard Deviation,13.87,7,0.0006121556624398776,0.04897245299519016
Standard Deviation,13.88,3,0.0002623524267599475,0.04836029733275028
Standard Deviation,13.89,8,0.0006996064713598601,0.048097944905990335
Standard Deviation,13.9,4,0.00034980323567993004,0.047398338434630476
Standard Deviation,13.91,4,0.00034980323567993004,0.047048535198950546
Standard Deviation,13.92,4,0.00034980323567993004,0.046698731963270616
Standard Deviation,13.93,9,0.0007870572802798426,0.04634892872759069
Standard Deviation,13.94,5,0.00043725404459991256,0.045561871447310845
Standard Deviation,13.95,7,0.0006121556624398776,0.04512461740271093
Standard Deviation,13.96,10,0.0008745080891998251,0.044512461740271056
Standard Deviation,13.97,6,0.000524704853519895,0.04363795365107123
Standard Deviation,13.98,4,0.00034980323567993004,0.04311324879755134
Standard Deviation,13.99,6,0.000524704853519895,0.04276344556187141
Standard Deviation,14.01,9,0.0007870572802798426,0.04223874070835151
Standard Deviation,14.02,3,0.0002623524267599475,0.04145168342807167
Standard Deviation,14.03,3,0.0002623524267599475,0.041189331001311724
Standard Deviation,14.04,6,0.000524704853519895,0.04092697857455178
Standard Deviation,14.05,6,0.000524704853519895,0.04040227372103188
Standard Deviation,14.06,2,0.00017490161783996502,0.03987756886751199
Standard Deviation,14.07,13,0.0011368605159597727,0.03970266724967202
Standard Deviation,14.08,7,0.0006121556624398776,0.03856580673371225
Standard Deviation,14.09,3,0.0002623524267599475,0.037953651071272375
Standard Deviation,14.1,1,8.745080891998251e-05,0.03769129864451243
Standard Deviation,14.11,6,0.000524704853519895,0.037603847835592445
Standard Deviation,14.12,2,0.00017490161783996502,0.03707914298207255
Standard Deviation,14.13,5,0.00043725404459991256,0.036904241364232586
Standard Deviation,14.14,4,0.00034980323567993004,0.036466987319632674
Standard Deviation,14.15,4,0.00034980323567993004,0.036117184083952744
Standard Deviation,14.16,6,0.000524704853519895,0.035767380848272814
Standard Deviation,14.18,8,0.0006996064713598601,0.03524267599475292
Standard Deviation,14.19,3,0.0002623524267599475,0.03454306952339306
Standard Deviation,14.2,4,0.00034980323567993004,0.03428071709663311
Standard Deviation,14.21,2,0.00017490161783996502,0.033930913860953184
Standard Deviation,14.22,7,0.0006121556624398776,0.03375601224311322
Standard Deviation,14.23,2,0.00017490161783996502,0.03314385658067334
Standard Deviation,14.24,3,0.0002623524267599475,0.03296895496283338
Standard Deviation,14.25,3,0.0002623524267599475,0.03270660253607343
Standard Deviation,14.26,6,0.000524704853519895,0.03244425010931348
Standard Deviation,14.27,5,0.00043725404459991256,0.03191954525579359
Standard Deviation,14.28,3,0.0002623524267599475,0.031482291211193676
Standard Deviation,14.29,5,0.00043725404459991256,0.031219938784433725
Standard Deviation,14.3,4,0.00034980323567993004,0.030782684739833813
Standard Deviation,14.31,2,0.00017490161783996502,0.030432881504153884
Standard Deviation,14.32,5,0.00043725404459991256,0.03025797988631392
Standard Deviation,14.33,5,0.00043725404459991256,0.029820725841714007
Standard Deviation,14.34,3,0.0002623524267599475,0.029383471797114095
Standard Deviation,14.35,7,0.0006121556624398776,0.029121119370354148
Standard Deviation,14.36,5,0.00043725404459991256,0.02850896370791427
Standard Deviation,14.37,4,0.00034980323567993004,0.02807170966331436
Standard Deviation,14.38,1,8.745080891998251e-05,0.02772190642763443
Standard Deviation,14.39,7,0.0006121556624398776,0.027634455618714446
Standard Deviation,14.4,11,0.0009619588981198076,0.02702229995627457
Standard Deviation,14.41,2,0.00017490161783996502,0.026060341058154763
Standard Deviation,14.42,3,0.0002623524267599475,0.025885439440314798
Standard Deviation,14.43,7,0.0006121556624398776,0.02562308701355485
Standard Deviation,14.44,7,0.0006121556624398776,0.025010931351114974
Standard Deviation,14.46,5,0.00043725404459991256,0.024398775688675097
Standard Deviation,14.47,2,0.00017490161783996502,0.023961521644075185
Standard Deviation,14.48,2,0.00017490161783996502,0.02378662002623522
Standard Deviation,14.49,2,0.00017490161783996502,0.023611718408395255
Standard Deviation,14.5,1,8.745080891998251e-05,0.02343681679055529
Standard Deviation,14.51,4,0.00034980323567993004,0.023349365981635308
