Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,16.49,1,0.0008368200836820083,0.40418410041841313
Standard Deviation,16.5,3,0.002510460251046025,0.40669456066945914
Standard Deviation,16.51,1,0.0008368200836820083,0.40753138075314116
Standard Deviation,16.52,1,0.0008368200836820083,0.4083682008368232
Standard Deviation,16.55,1,0.0008368200836820083,0.4092050209205052
Standard Deviation,16.56,2,0.0016736401673640166,0.41087866108786925
Standard Deviation,16.57,1,0.0008368200836820083,0.41171548117155127
Standard Deviation,16.58,3,0.002510460251046025,0.4142259414225973
Standard Deviation,16.6,1,0.0008368200836820083,0.4150627615062793
Standard Deviation,16.61,1,0.0008368200836820083,0.4158995815899613
Standard Deviation,16.62,1,0.0008368200836820083,0.41673640167364334
Standard Deviation,16.63,2,0.0016736401673640166,0.4184100418410074
Standard Deviation,16.67,1,0.0008368200836820083,0.4192468619246894
Standard Deviation,16.71,1,0.0008368200836820083,0.42008368200837143
Standard Deviation,16.72,2,0.0016736401673640166,0.42175732217573547
Standard Deviation,16.73,1,0.0008368200836820083,0.4225941422594175
Standard Deviation,16.74,1,0.0008368200836820083,0.4234309623430995
Standard Deviation,16.75,2,0.0016736401673640166,0.42510460251046356
Standard Deviation,16.78,1,0.0008368200836820083,0.4259414225941456
Standard Deviation,16.79,2,0.0016736401673640166,0.4276150627615096
Standard Deviation,16.8,1,0.0008368200836820083,0.42845188284519165
Standard Deviation,16.81,2,0.0016736401673640166,0.4301255230125557
Standard Deviation,16.84,1,0.0008368200836820083,0.4309623430962377
Standard Deviation,16.86,1,0.0008368200836820083,0.43179916317991973
Standard Deviation,16.87,3,0.002510460251046025,0.43430962343096574
Standard Deviation,16.88,2,0.0016736401673640166,0.4359832635983298
Standard Deviation,16.89,2,0.0016736401673640166,0.4376569037656938
Standard Deviation,16.94,1,0.0008368200836820083,0.43849372384937585
Standard Deviation,16.96,1,0.0008368200836820083,0.43933054393305787
Standard Deviation,16.98,3,0.002510460251046025,0.4418410041841039
Standard Deviation,16.99,2,0.0016736401673640166,0.4435146443514679
Standard Deviation,17.01,1,0.0008368200836820083,0.44435146443514995
Standard Deviation,17.03,3,0.002510460251046025,0.44686192468619595
Standard Deviation,17.06,3,0.002510460251046025,0.44937238493724196
Standard Deviation,17.07,1,0.0008368200836820083,0.450209205020924
Standard Deviation,17.08,1,0.0008368200836820083,0.451046025104606
Standard Deviation,17.12,2,0.0016736401673640166,0.45271966527197005
Standard Deviation,17.14,2,0.0016736401673640166,0.4543933054393341
Standard Deviation,17.17,2,0.0016736401673640166,0.5456066945606736
Standard Deviation,17.21,1,0.0008368200836820083,0.5439330543933095
Standard Deviation,17.22,1,0.0008368200836820083,0.5430962343096275
Standard Deviation,17.23,1,0.0008368200836820083,0.5422594142259455
Standard Deviation,17.24,2,0.0016736401673640166,0.5414225941422635
Standard Deviation,17.25,1,0.0008368200836820083,0.5397489539748994
Standard Deviation,17.26,2,0.0016736401673640166,0.5389121338912174
Standard Deviation,17.27,1,0.0008368200836820083,0.5372384937238533
Standard Deviation,17.3,1,0.0008368200836820083,0.5364016736401713
Standard Deviation,17.33,2,0.0016736401673640166,0.5355648535564893
Standard Deviation,17.34,4,0.0033472803347280333,0.5338912133891253
Standard Deviation,17.35,1,0.0008368200836820083,0.5305439330543972
Standard Deviation,17.36,1,0.0008368200836820083,0.5297071129707152
Standard Deviation,17.37,1,0.0008368200836820083,0.5288702928870331
Standard Deviation,17.38,1,0.0008368200836820083,0.5280334728033511
