Category,Difference,pValue,Cumulative P-Value,Observed Frequency,Points
Density (Top 5 Sum),14,0.21959690,0.68513110,2195969,1
Density (Top 5 Sum),15,0.16833100,0.85346210,1683310,1
Density (Top 5 Sum),16,0.09267700,0.94613910,926770,1
Density (Top 5 Sum),17,0.03785180,0.05386090,378518,19
Density (Top 5 Sum),18,0.01209010,0.01600910,120901,62
Density (Top 5 Sum),19,0.00313790,0.00391900,31379,255
Density (Top 5 Sum),20,0.00064700,0.00078110,6470,1280
Density (Top 5 Sum),21,0.00011510,0.00013410,1151,7457
Density (Top 5 Sum),22,0.00001670,0.00001900,167,52632
Density (Top 5 Sum),23,0.00000160,0.00000230,16,434783
Density (Top 5 Sum),24,0.00000070,0.00000070,7,1428571
Left,3,0.00000010,0.00000010,1,10000000
Left,4,0.00000100,0.00000110,10,909091
Left,5,0.00000910,0.00001020,91,98039
Left,6,0.00003820,0.00004840,382,20661
Left,7,0.00015620,0.00020460,1562,4888
Left,8,0.00053770,0.00074230,5377,1347
Left,9,0.00161070,0.00235300,16107,425
Left,10,0.00421580,0.00656880,42158,152
Left,11,0.00963450,0.01620330,96345,62
Left,12,0.01950380,0.03570710,195038,28
Left,13,0.03515090,0.07085800,351509,14
Left,14,0.05645120,0.12730920,564512,8
Left,15,0.08139120,0.20870040,813912,5
Left,16,0.10515520,0.31385560,1051552,3
Left,17,0.12260360,0.43645920,1226036,2
Left,18,0.12869890,,1286989,0
Left,19,0.12229220,0.43484190,1222922,2
Left,20,0.10442350,0.31254970,1044235,3
Left,21,0.08048920,0.20812620,804892,5
Left,22,0.05583130,0.12763700,558313,8
Left,23,0.03502280,0.07180570,350228,14
Left,24,0.01975890,0.03678290,197589,27
Left,25,0.00990010,0.01702400,99001,59
Left,26,0.00444110,0.00712390,44411,140
Left,27,0.00178470,0.00268280,17847,373
Left,28,0.00064110,0.00089810,6411,1113
Left,29,0.00019200,0.00025700,1920,3891
Left,30,0.00005170,0.00006500,517,15385
Left,31,0.00001050,0.00001330,105,75188
Left,32,0.00000200,0.00000280,20,357143
Left,33,0.00000080,0.00000080,8,1250000
Left - Right,-30,0.00000020,0.00000020,2,5000000
Left - Right,-29,0.00000020,0.00000040,2,2500000
Left - Right,-28,0.00000030,0.00000070,3,1428571
Left - Right,-27,0.00000090,0.00000160,9,625000
Left - Right,-26,0.00000360,0.00000520,36,192308
Left - Right,-25,0.00000770,0.00001290,77,77519
Left - Right,-24,0.00001650,0.00002940,165,34014
Left - Right,-23,0.00002930,0.00005870,293,17036
Left - Right,-22,0.00006670,0.00012540,667,7974
Left - Right,-21,0.00011700,0.00024240,1170,4125
Left - Right,-20,0.00023580,0.00047820,2358,2091
Left - Right,-19,0.00039350,0.00087170,3935,1147
Left - Right,-18,0.00070480,0.00157650,7048,634
Left - Right,-17,0.00112180,0.00269830,11218,371
Left - Right,-16,0.00189360,0.00459190,18936,218
Left - Right,-15,0.00283320,0.00742510,28332,135
Left - Right,-14,0.00446600,0.01189110,44660,84
Left - Right,-13,0.00628740,0.01817850,62874,55
Left - Right,-12,0.00923950,0.02741800,92395,36
Left - Right,-11,0.01232010,0.03973810,123201,25
Left - Right,-10,0.01706590,0.05680400,170659,18
Left - Right,-9,0.02142650,0.07823050,214265,13
Left - Right,-8,0.02805100,0.10628150,280510,9
Left - Right,-7,0.03337240,0.13965390,333724,7
Left - Right,-6,0.04111780,0.18077170,411178,6
Left - Right,-5,0.04630260,0.22707430,463026,4
Left - Right,-4,0.05384500,0.28091930,538450,4
Left - Right,-3,0.05761050,0.33852980,576105,3
Left - Right,-2,0.06341810,0.40194790,634181,2
Left - Right,-1,0.06418310,0.46613100,641831,2
Left - Right,0,0.06706080,,670608,0
Left - Right,1,0.06438170,0.46680820,643817,2
Left - Right,2,0.06353020,0.40242650,635302,2
Left - Right,3,0.05781910,0.33889630,578191,3
Left - Right,4,0.05391540,0.28107720,539154,4
Left - Right,5,0.04650040,0.22716180,465004,4
Left - Right,6,0.04098270,0.18066140,409827,6
Left - Right,7,0.03346170,0.13967870,334617,7
Left - Right,8,0.02793410,0.10621700,279341,9
Left - Right,9,0.02147890,0.07828290,214789,13
Left - Right,10,0.01710000,0.05680400,171000,18
Left - Right,11,0.01236640,0.03970400,123664,25
Left - Right,12,0.00921790,0.02733760,92179,37
Left - Right,13,0.00631540,0.01811970,63154,55
Left - Right,14,0.00443890,0.01180430,44389,85
Left - Right,15,0.00280220,0.00736540,28022,136
Left - Right,16,0.00188100,0.00456320,18810,219
Left - Right,17,0.00111380,0.00268220,11138,373
Left - Right,18,0.00071320,0.00156840,7132,638
Left - Right,19,0.00039440,0.00085520,3944,1169
Left - Right,20,0.00022800,0.00046080,2280,2170
Left - Right,21,0.00011450,0.00023280,1145,4296
Left - Right,22,0.00006420,0.00011830,642,8453
Left - Right,23,0.00002960,0.00005410,296,18484
Left - Right,24,0.00001590,0.00002450,159,40816
Left - Right,25,0.00000490,0.00000860,49,116279
Left - Right,26,0.00000210,0.00000370,21,270270
Left - Right,27,0.00000060,0.00000160,6,625000
Left - Right,28,0.00000080,0.00000100,8,1000000
Left - Right,29,0.00000020,0.00000020,2,5000000
Left Bottom,0,0.00466790,0.00466790,46679,214
Left Bottom,1,0.02701860,0.03168650,270186,32
Left Bottom,2,0.07591370,0.10760020,759137,9
Left Bottom,3,0.13787030,0.24547050,1378703,4
Left Bottom,4,0.18252370,0.42799420,1825237,2
Left Bottom,5,0.18826140,0.61625560,1882614,2
Left Bottom,6,0.15701060,0.77326620,1570106,1
Left Bottom,7,0.10861640,0.88188260,1086164,1
Left Bottom,8,0.06369030,0.94557290,636903,1
Left Bottom,9,0.03221630,,322163,0
Left Bottom,10,0.01414070,0.02221080,141407,45
Left Bottom,11,0.00546880,0.00807010,54688,124
Left Bottom,12,0.00184530,0.00260130,18453,384
Left Bottom,13,0.00055510,0.00075600,5551,1323
Left Bottom,14,0.00015390,0.00020090,1539,4978
Left Bottom,15,0.00003580,0.00004700,358,21277
Left Bottom,16,0.00000920,0.00001120,92,89286
Left Bottom,17,0.00000150,0.00000200,15,500000
Left Bottom,18,0.00000050,0.00000050,5,2000000
Left Top,0,0.00467280,0.00467280,46728,214
Left Top,1,0.02692100,0.03159380,269210,32
Left Top,2,0.07579340,0.10738720,757934,9
Left Top,3,0.13763710,0.24502430,1376371,4
Left Top,4,0.18279800,0.42782230,1827980,2
Left Top,5,0.18806430,0.61588660,1880643,2
Left Top,6,0.15708000,0.77296660,1570800,1
Left Top,7,0.10883890,0.88180550,1088389,1
Left Top,8,0.06378450,0.94559000,637845,1
Left Top,9,0.03214520,0.05441000,321452,18
Left Top,10,0.01415850,0.02226480,141585,45
Left Top,11,0.00548010,0.00810630,54801,123
Left Top,12,0.00186690,0.00262620,18669,381
Left Top,13,0.00055890,0.00075930,5589,1317
Left Top,14,0.00015420,0.00020040,1542,4990
Left Top,15,0.00003630,0.00004620,363,21645
Left Top,16,0.00000800,0.00000990,80,101010
Left Top,17,0.00000190,0.00000190,19,526316
Lower Left,0,0.00003510,0.00003510,351,28490
Lower Left,1,0.00041550,0.00045060,4155,2219
Lower Left,2,0.00235410,0.00280470,23541,357
Lower Left,3,0.00872110,0.01152580,87211,87
Lower Left,4,0.02365510,0.03518090,236551,28
Lower Left,5,0.05004310,0.08522400,500431,12
Lower Left,6,0.08529330,0.17051730,852933,6
Lower Left,7,0.12131060,0.29182790,1213106,3
Lower Left,8,0.14573860,0.43756650,1457386,2
Lower Left,9,0.15060430,0.58817080,1506043,2
Lower Left,10,0.13560210,0.72377290,1356021,1
Lower Left,11,0.10731110,0.83108400,1073111,1
Lower Left,12,0.07486600,0.90595000,748660,1
Lower Left,13,0.04643940,0.09405000,464394,11
Lower Left,14,0.02567480,0.04761060,256748,21
Lower Left,15,0.01278500,0.02193580,127850,46
Lower Left,16,0.00567770,0.00915080,56777,109
Lower Left,17,0.00226150,0.00347310,22615,288
Lower Left,18,0.00083790,0.00121160,8379,825
Lower Left,19,0.00026880,0.00037370,2688,2676
Lower Left,20,0.00007870,0.00010490,787,9533
Lower Left,21,0.00002010,0.00002620,201,38168
Lower Left,22,0.00000460,0.00000610,46,163934
Lower Left,23,0.00000120,0.00000150,12,666667
Lower Left,24,0.00000020,0.00000030,2,3333333
Lower Left,26,0.00000010,0.00000010,1,10000000
Lower Right,0,0.00003350,0.00003350,335,29851
Lower Right,1,0.00040500,0.00043850,4050,2281
Lower Right,2,0.00236380,0.00280230,23638,357
Lower Right,3,0.00868330,0.01148560,86833,87
Lower Right,4,0.02370680,0.03519240,237068,28
Lower Right,5,0.04993980,0.08513220,499398,12
Lower Right,6,0.08542430,0.17055650,854243,6
Lower Right,7,0.12115120,0.29170770,1211512,3
Lower Right,8,0.14591120,0.43761890,1459112,2
Lower Right,9,0.15072720,0.58834610,1507272,2
Lower Right,10,0.13566640,0.72401250,1356664,1
Lower Right,11,0.10701920,0.83103170,1070192,1
Lower Right,12,0.07488290,0.90591460,748829,1
Lower Right,13,0.04643330,0.09408540,464333,11
Lower Right,14,0.02573620,0.04765210,257362,21
Lower Right,15,0.01274190,0.02191590,127419,46
Lower Right,16,0.00568350,0.00917400,56835,109
Lower Right,17,0.00228260,0.00349050,22826,286
Lower Right,18,0.00081810,0.00120790,8181,828
Lower Right,19,0.00028320,0.00038980,2832,2565
Lower Right,20,0.00007740,0.00010660,774,9381
Lower Right,21,0.00002200,0.00002920,220,34247
Lower Right,22,0.00000530,0.00000720,53,138889
Lower Right,23,0.00000150,0.00000190,15,526316
Lower Right,24,0.00000020,0.00000040,2,2500000
Lower Right,25,0.00000020,0.00000020,2,5000000
Max Counts,2,0.01435900,0.01435900,143590,70
Max Counts,3,0.46534580,0.47970480,4653458,2
Max Counts,4,0.40734740,0.88705220,4073474,1
Max Counts,5,0.09611780,0.98317000,961178,1
Max Counts,6,0.01477650,0.99794650,147765,1
Max Counts,7,0.00183900,0.00205350,18390,487
Max Counts,8,0.00019540,0.00021450,1954,4662
Max Counts,9,0.00001800,0.00001910,180,52356
Max Counts,10,0.00000070,0.00000110,7,909091
Max Counts,11,0.00000040,0.00000040,4,2500000
Max Hits,2,0.01435900,0.01435900,143590,70
Max Hits,3,0.46534580,0.47970480,4653458,2
Max Hits,4,0.40734740,0.88705220,4073474,1
Max Hits,5,0.09611780,0.98317000,961178,1
Max Hits,6,0.01477650,0.99794650,147765,1
Max Hits,7,0.00183900,0.00205350,18390,487
Max Hits,8,0.00019540,0.00021450,1954,4662
Max Hits,9,0.00001800,0.00001910,180,52356
Max Hits,10,0.00000070,0.00000110,7,909091
Max Hits,11,0.00000040,0.00000040,4,2500000
Right,4,0.00000070,0.00000070,7,1428571
Right,5,0.00000600,0.00000670,60,149254
Right,6,0.00003780,0.00004450,378,22472
Right,7,0.00015640,0.00020090,1564,4978
Right,8,0.00053230,0.00073320,5323,1364
Right,9,0.00161150,0.00234470,16115,426
Right,10,0.00417000,0.00651470,41700,153
Right,11,0.00964640,0.01616110,96464,62
Right,12,0.01954820,0.03570930,195482,28
Right,13,0.03514470,0.07085400,351447,14
Right,14,0.05653100,0.12738500,565310,8
Right,15,0.08138670,0.20877170,813867,5
Right,16,0.10535290,0.31412460,1053529,3
Right,17,0.12274630,0.43687090,1227463,2
Right,18,0.12899220,0.56586310,1289922,2
Right,19,0.12179920,,1217992,0
Right,20,0.10423220,0.31233770,1042322,3
Right,21,0.08040220,0.20810550,804022,5
Right,22,0.05582430,0.12770330,558243,8
Right,23,0.03504690,0.07187900,350469,14
Right,24,0.01969700,0.03683210,196970,27
Right,25,0.00997160,0.01713510,99716,58
Right,26,0.00446150,0.00716350,44615,140
Right,27,0.00178340,0.00270200,17834,370
Right,28,0.00064210,0.00091860,6421,1089
Right,29,0.00020550,0.00027650,2055,3617
Right,30,0.00005510,0.00007100,551,14085
Right,31,0.00001330,0.00001590,133,62893
Right,32,0.00000200,0.00000260,20,384615
Right,33,0.00000050,0.00000060,5,1666667
Right,34,0.00000010,0.00000010,1,10000000
Right Bottom,0,0.00464940,0.00464940,46494,215
Right Bottom,1,0.02698650,0.03163590,269865,32
Right Bottom,2,0.07573620,0.10737210,757362,9
Right Bottom,3,0.13795140,0.24532350,1379514,4
Right Bottom,4,0.18288540,0.42820890,1828854,2
Right Bottom,5,0.18826300,0.61647190,1882630,2
Right Bottom,6,0.15700220,0.77347410,1570022,1
Right Bottom,7,0.10837240,0.88184650,1083724,1
Right Bottom,8,0.06373940,0.94558590,637394,1
Right Bottom,9,0.03216380,,321638,0
Right Bottom,10,0.01414820,0.02225030,141482,45
Right Bottom,11,0.00546230,0.00810210,54623,123
Right Bottom,12,0.00186350,0.00263980,18635,379
Right Bottom,13,0.00057860,0.00077630,5786,1288
